(eye)TEACH
4 Paws for Ability at the University of Illinois Urbana-Champaign
4-H House Cooperative Sorority
8 to CREATE
A Space
Academic Buzzer Team: A Quiz Bowl Organization
Accounting Club
ACHA Men's Division II Hockey Club at the University of Illinois Urbana-Champaign
Acoustics at the University of Illinois
ActGreen
Action Against Hunger at the University of Illinois at Urbana-Champaign
Active Minds
Acts Campus Ministry at UIUC
Actually Neurodivergent
Actuarial Science Club
Adventure Club
Advocacy & Legal Writing Association
Aerospace Engineering Graduate Student Advisory Committee
African Cultural Association
African Students Organization
Afrique Dance Ensemble
Agricultural & Consumer Economics - Graduate Student Organization
Ahlul Bayt Association at UIUC
AI @ UIUC
Airsoft at Illinois
Akshaya Patra
Albanian Student Association
Alive Vineyard College Ministry
Alma's Talking Dogs
ALPFA Illinois
Alpha Chi Omega
Alpha Chi Rho
Alpha Chi Sigma
Alpha Delta Phi Fraternity
Alpha Delta Pi
Alpha Epsilon Delta Pre-Health Society
Alpha Epsilon Phi Sorority
Alpha Epsilon Pi
Alpha Gamma Delta
Alpha Gamma Rho
Alpha Investment Management Partners
Alpha Kappa Alpha Sorority, Incorporated. Gamma Chapter
Alpha Kappa Delta Phi
Alpha Kappa Psi Professional Business Fraternity
Alpha Omega Campus Ministry
Alpha Omega Epsilon Engineering Sorority
Alpha Omicron Pi
Alpha Phi Alpha Fraternity, Incorporated
Alpha Phi Gamma National Sorority, Inc.
Alpha Phi International Sorority
Alpha Phi Omega
Alpha Pi Sigma Sorority, Incorporated. - Xi Chapter
Alpha Psi Lambda
Alpha Rho Chi
Alpha Sigma Omega Latina Sorority, Inc.
Alpha Sigma Phi Fraternity
Alpha Tau Alpha/Ag Ed Club
Alpha Tau Omega: Gamma Zeta
Alpha Xi Delta
Alpha Zeta Morrow
Emma Kuhns
Also Known as Improv (AKA Improv)
Altgeld Ringers
Amateur Artists of Illustration
American Advertising Federation at the University of Illinois
American Association for Aerosol Research at UIUC
American Association of Zoo Veterinarians, Illinois Student Chapter
American Cancer Society On Campus
American Chemical Society
American Choral Directors Association University of Illinois Student Chapter
American Concrete Institute
American Constitution Society
American Fisheries Society, U of I Student Subunit
American Institute of Aeronautics and Astronautics Student Branch
American Institute of Architecture Students
American Institute of Chemical Engineers
American Library Association Student Chapter at the University of Illinois, Urbana-Champaign
American Marketing Association
American Medical Student Association Pre-Med
American Medical Women's Association at UIUC
American Nuclear Society, University of Illinois Student Section
Jake Mitstifer
American Railway Engineering and Maintenance-of-Way Association Student Chapter at UIUC
American Red Cross Club at the University of Illinois at Urbana Champaign
American Sign Language & Deaf Culture Club
American Society for Biochemistry and Molecular Biology Student Chapter at UIUC
American Society of Agricultural and Biological Engineers
American Society of Civil Engineers
American Society of Mechanical Engineers
American String Teachers Association
Amnesty International 124
Among Us Club
Animal Welfare Club
Anomaly Detection
Anthropology Club/Lambda Alpha
Apollo
Arab American Association of Engineers and Architects
Arab Student Association
Archery Club
Armchair Detectives
Armenian Students' Cultural Association
Army ROTC Cadet Council
Arnold Air Society - Jake Schaefer Squadron
Arpeggia
Art Ed Student Organization
ArtNight
Ascend UIUC Chapter
Asha for Education: Urbana-Champaign
Asian American Association
Asian American Coalition Combating Oppression, Racism, and Discrimination
Asian American Journalists Association
Asian American Student Housing Organization
Asian Law Students Association
Asian Pre-Law Association
Asian Studies Group
Aspiring Women in Health
Association for Computing Machinery
Association for Computing Machinery - Women
Association for Information Systems
Association for Quantitative Trading Education
Association of Asian Veterinary Medical Professionals at Illinois (AAVMP)
Association of Food Technologists
Association of Healthcare Technology Engineering
Association of Minorities in Political Science
Association of Minority Psychologists
Astrobiology Club
Astronomical Society at the University of Illinois at Urbana-Champaign
August Productions
Avicenna Community Health Center Student Initiative
AVS Illinois Student Chapter
AWS Cloud Club - UIUC
AxisMED
Bachelors of Social Work Association
Badminton For Fun
Ballet Folklorico Mitotiani
Balloon Design at Illinois
Baltic Club
Bandside UIUC
Bangladeshi Students Association
Bankruptcy Law Society
Baptist Campus Ministries
Baptist Chinese Campus Ministries
Bar None
Beekeeping Club at UIUC
Bengali Students Organization (UIUC) - Abol Tabol
Best Buddies International
Beta Alpha Psi
Beta Chi Theta Fraternity, Inc.
Beta Psi Omega
Beta Sigma Psi
Beta Theta Pi Fraternity
Bilingual Organization for SHS Students
Biomedical Engineering Journal CLub
Biomedical Engineering Society
Bioscience Journal Club
Bits & Bytes UIUC
Black Business Network
Black Chorus at the University of Illinois
Black Creators Network
Black Glove Society
Black Graduate Student Association
Black Greek Council
Black Law Students Association
Black Queer Collective at UIUC
Black Student Advisory Board of The School of Music
Black, Indigenous, and Latinx in Tech - B[U]ILT
Blading Illini
BLNKD
Blood Club
Blue Ocean Search
Bollywood Dhamaka
Booker T. Buddies
Brain Matters
Brave New Midnight
Bridges International
Brush It Off
BuildIllinois
Bullet Journaling Illini
Business Council
Business Intelligence Academy
Business International Exchange Network
C-U Cinefile
Calisthenics Club
Camp Kesem at University of Illinois
Campus Sanskrit Network
Campus Union for Trans Equality and Support
Cancer Center at Illinois Student Organization
Canterbury Students Association
Capoeira Club at UIUC
Career Advancement Exchange
Caring Companions Initiative
Carle Volunteers RSO
Catholic Illini Association
Central American Student Association
Cereal Enthusiasts Society
Chabad Jewish Student Association
Chai Town
Champaign Photography Association
Champaign-Urbana Business and Engineering Consulting
Champaign-Urbana Trickers
Change Ringers of Urbana-Champaign
Sean Lu
Character Creation Hub
Cheese Club At UIUC
Chi Epsilon Civil Engineering Honor Society
Chi Iota Chapter of the Fraternity of Phi Gamma Delta
Chi Omega
Chi Psi Fraternity
Chi Sigma Tau National Fraternity, Inc.
Chicago Area Peace Action UIUC
Child Life Association
Chinese Engineering Students Association (CESA)
Chinese Football Association
Chinese Heritage Association
Chinese Language and International Development Society
Chinese Student & Scholar E-sport Association (CSSEA)
Chinese Students and Scholars Association
Chinese Theatre Group
CHOOM
Christ Community
Christian Healthcare Student Association
Christian Law Students Association
Christian Literature Club
Christian Veterinary Mission Fellowship
Christians on Campus
Circassian Benevolent Student Association
Circle K International-UIUC Chapter
Climate and Meteorological Association of Students
Climbing Club at UIUC
Club Pickleball at the University of Illinois
Club Tennis
Codable
CodeRed
College of ACES Student Advancement Committee
College of Law Labor and Employment Law Society at the University of Illinois
College of Nursing at Urbana Urban Health Program
College Republicans at UIUC
Collegiate 4-H
Collegiate Academy
Colombian Student Association at the University of Illinois
Combat Robotics
Companion Animals Club
Competitive Super Smash Bros. Club
Competitive Taekwondo Club
Compliance and Tax Law Association
Computer Science Adapting Community
Computer Science Mental Health Committee
Conch Shell Mental Support
Consumer Economics and Finance Club
Coptic Orthodox Christian Fellowship
Cornerstone Christian Student Fellowship
CornTV
Corporate and Business Law Association
Cosmetic Chemistry Club
Cosplay Design League
Covenant Fellowship
Creative Illini
Creative Writing Club
Cricket Club of Illinois
Criminal Law Society
Crisis Nursery Student Initiative
Crop Sciences Graduate Student Organization
Cross Country Club
Cross the Ocean Ensemble
Crossway
Crossword Club
Cru
CSC
CU Impact
CULTURE TALKS
Dance2XS at UIUC
Dance2XS Caliente
Dancing Illini
Danza Azteca Xochipilli
Data Science and Artificial Intelligence Society
DDRIllini
DeepRanjani UIUC Chapter
Delight Ministries
Delta Chi Fraternity
Delta Delta Delta Sorority
Delta Delta Sigma
Delta Gamma Sorority
Delta Kappa Delta Sorority, Inc.
Delta Kappa Epsilon : Delta Pi
Delta Phi Omega Sorority, Inc.
Delta Sigma Pi Business Fraternity
Delta Sigma Theta Sorority, Inc Alpha Nu Chapter
Delta Upsilon
Delta Zeta
Department of Chemical and Biomolecular Engineering Graduate Student Advisory Council University of Illinois at Urbana Champaign
Department of Student Engagement
Design Build Fly
Design For America at UIUC
Design Innovation Illinois
Design Movement
Destino
Deutschklub at Illinois
Dheem
Disability Law Society
Diverse Curlz
Divine Youth Associates
DIY Illini
Doctoral Students in Urban Planning
Doctors Without Borders at The University of Illinois Urbana-Champaign
Earthquake Engineering Research Institute
Earthworm Protection at Illinois
East African Community Club
Eastern European Illini
Eastern Medicine Club at UIUC
Ecclesia
Eco Illini Supermileage
Economics Club
Economics Graduate Student Organization
Economics Tournament at the University of Illinois
Ecuadorian Student Association
Education And Training For Health
Education Law and Policy Society
Effective Altruism Chapter at University of Illinois Urbana-Champaign
Egyptian Student Association
Election Law Student Association
Electric Strings
Electronic Music Club
Elevate Campus Ministry
Emergency Management at UIUC
Empowering Minorities and Building Representation Across Civil and Environmental Engineering (EMBRACE)
Enactus
Energy and Environmental Law Society
Engineering Council
Engineering Outreach Society
Engineering Student Alumni Ambassadors
Engineers in Action Bridge Program
Engineers Without Borders, UIUC Chapter
English Corner
English Student Association
Entomology Graduate Students Association
Environmental Coalition
Epsilon Delta Professional Teaching Organization
